date,round,venue,result,goals_for,goals_against,opponent,possession
2018-09-18,Group stage,Home,W,4,0,PSV,75
2018-10-03,Group stage,Away,W,4,2,Tottenham,61
2018-10-24,Group stage,Home,W,2,0,Inter,67
2018-11-06,Group stage,Away,D,1,1,Inter,65
2018-11-28,Group stage,Away,W,2,1,PSV,65
2018-12-11,Group stage,Home,D,1,1,Tottenham,49
2019-02-19,Round of 16,Away,D,0,0,Lyon,63
2019-03-13,Round of 16,Home,W,5,1,Lyon,55
2019-04-10,Quarter-finals,Away,W,1,0,Manchester United,67
2019-04-16,Quarter-finals,Home,W,3,0,Manchester United,66
2019-05-01,Semi-finals,Home,W,3,0,Liverpool,48
2019-05-07,Semi-finals,Away,L,0,4,Liverpool,57
