date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2018-10-03,Tottenham,Away,Group stage,Philippe Coutinho,FW,82,1,1,2,2,2,0,0,1,1,2
2018-10-03,Tottenham,Away,Group stage,Rafinha,MF,8,0,0,0,0,0,0,0,0,0,0
2018-10-03,Tottenham,Away,Group stage,Luis Suárez,FW,90,0,0,3,1,0,0,0,0,0,3
2018-10-03,Tottenham,Away,Group stage,Lionel Messi,FW,90,2,0,6,4,0,1,2,1,1,3
2018-10-03,Tottenham,Away,Group stage,Ivan Rakitić,CM,90,1,0,1,1,0,0,0,2,0,0
2018-10-03,Tottenham,Away,Group stage,Sergio Busquets,CM,89,0,0,0,0,0,0,3,0,2,1
2018-10-03,Tottenham,Away,Group stage,Thomas Vermaelen,DF,1,0,0,0,0,0,0,0,0,0,1
2018-10-03,Tottenham,Away,Group stage,Arthur Melo,CM,86,0,0,0,0,0,0,3,0,1,3
2018-10-03,Tottenham,Away,Group stage,Arturo Vidal,MF,4,0,0,0,0,0,0,0,0,1,0
2018-10-03,Tottenham,Away,Group stage,Jordi Alba,LB,90,0,3,0,0,1,0,1,3,2,0
2018-10-03,Tottenham,Away,Group stage,Clément Lenglet,CB,90,0,0,1,0,0,0,2,0,1,0
2018-10-03,Tottenham,Away,Group stage,Gerard Piqué,CB,90,0,0,0,0,0,0,1,3,0,1
2018-10-03,Tottenham,Away,Group stage,Nélson Semedo,RB,90,0,0,0,0,0,1,2,1,0,3
2018-10-03,Tottenham,Away,Group stage,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
