date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2018-11-06,Inter,Away,Group stage,Philippe Coutinho,FW,90,0,1,8,3,0,5,1,1,0,4
2018-11-06,Inter,Away,Group stage,Luis Suárez,FW,90,0,0,9,1,0,0,1,0,1,0
2018-11-06,Inter,Away,Group stage,Ousmane Dembélé,FW,80,0,0,3,2,0,6,1,0,0,1
2018-11-06,Inter,Away,Group stage,Malcom,FW,10,1,0,1,1,0,1,0,0,0,2
2018-11-06,Inter,Away,Group stage,Arthur Melo,CM,73,0,0,0,0,0,1,1,1,1,2
2018-11-06,Inter,Away,Group stage,Arturo Vidal,MF,17,0,0,0,0,0,0,0,1,0,0
2018-11-06,Inter,Away,Group stage,Sergio Busquets,CM,90,0,0,0,0,0,0,1,2,1,0
2018-11-06,Inter,Away,Group stage,Ivan Rakitić,CM,90,0,0,4,1,0,1,1,2,2,1
2018-11-06,Inter,Away,Group stage,Jordi Alba,LB,90,0,0,0,0,0,2,1,1,2,0
2018-11-06,Inter,Away,Group stage,Clément Lenglet,CB,90,0,0,1,0,0,0,1,1,1,0
2018-11-06,Inter,Away,Group stage,Gerard Piqué,CB,90,0,0,0,0,0,0,0,1,0,1
2018-11-06,Inter,Away,Group stage,Sergi Roberto,RB,90,0,0,0,0,0,0,1,0,1,0
2018-11-06,Inter,Away,Group stage,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
