date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2019-02-19,Lyon,Away,Round of 16,Ousmane Dembélé,FW,66,0,0,4,1,1,5,0,0,0,4
2019-02-19,Lyon,Away,Round of 16,Philippe Coutinho,FW,24,0,0,1,1,0,0,1,0,0,0
2019-02-19,Lyon,Away,Round of 16,Luis Suárez,FW,90,0,0,4,1,0,2,0,2,2,3
2019-02-19,Lyon,Away,Round of 16,Lionel Messi,FW,90,0,0,9,1,0,4,2,0,0,2
2019-02-19,Lyon,Away,Round of 16,Ivan Rakitić,CM,90,0,0,3,0,0,1,1,3,0,0
2019-02-19,Lyon,Away,Round of 16,Sergio Busquets,CM,90,0,0,2,1,0,0,4,1,1,1
2019-02-19,Lyon,Away,Round of 16,Sergi Roberto,CM,80,0,0,0,0,0,1,1,1,3,1
2019-02-19,Lyon,Away,Round of 16,Arturo Vidal,MF,10,0,0,0,0,0,0,0,0,1,0
2019-02-19,Lyon,Away,Round of 16,Jordi Alba,LB,90,0,0,1,0,0,1,3,2,0,0
2019-02-19,Lyon,Away,Round of 16,Clément Lenglet,CB,90,0,0,1,0,0,0,0,1,1,1
2019-02-19,Lyon,Away,Round of 16,Gerard Piqué,CB,90,0,0,0,0,0,0,3,2,1,0
2019-02-19,Lyon,Away,Round of 16,Nélson Semedo,RB,90,0,0,0,0,0,1,5,0,2,1
2019-02-19,Lyon,Away,Round of 16,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
