date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2019-04-10,Manchester United,Away,Quarter-finals,Philippe Coutinho,FW,64,0,0,1,1,0,1,0,0,0,3
2019-04-10,Manchester United,Away,Quarter-finals,Arturo Vidal,MF,26,0,0,0,0,0,0,0,0,3,1
2019-04-10,Manchester United,Away,Quarter-finals,Luis Suárez,FW,90,0,0,3,0,0,0,1,0,0,3
2019-04-10,Manchester United,Away,Quarter-finals,Lionel Messi,FW,90,0,0,1,1,0,1,0,0,2,2
2019-04-10,Manchester United,Away,Quarter-finals,Ivan Rakitić,CM,90,0,0,0,0,0,0,0,0,0,1
2019-04-10,Manchester United,Away,Quarter-finals,Sergio Busquets,CM,89,0,0,0,0,0,0,0,2,3,1
2019-04-10,Manchester United,Away,Quarter-finals,Carles Aleñá,MF,1,0,0,0,0,0,0,0,0,0,0
2019-04-10,Manchester United,Away,Quarter-finals,Arthur Melo,CM,65,0,0,0,0,0,0,1,0,0,2
2019-04-10,Manchester United,Away,Quarter-finals,Sergi Roberto,MF,25,0,0,0,0,0,1,0,0,0,0
2019-04-10,Manchester United,Away,Quarter-finals,Jordi Alba,LB,90,0,0,1,1,0,2,2,2,0,0
2019-04-10,Manchester United,Away,Quarter-finals,Clément Lenglet,CB,90,0,0,0,0,0,0,0,1,1,1
2019-04-10,Manchester United,Away,Quarter-finals,Gerard Piqué,CB,90,0,0,0,0,0,0,1,0,0,0
2019-04-10,Manchester United,Away,Quarter-finals,Nélson Semedo,RB,90,0,0,0,0,0,1,1,0,2,1
2019-04-10,Manchester United,Away,Quarter-finals,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
