date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2019-05-01,Liverpool,Home,Semi-finals,Philippe Coutinho,FW,59,0,0,2,1,1,1,0,1,0,0
2019-05-01,Liverpool,Home,Semi-finals,Nélson Semedo,DF,31,0,0,0,0,0,0,0,0,0,1
2019-05-01,Liverpool,Home,Semi-finals,Luis Suárez,FW,89,1,1,3,1,1,1,0,0,2,2
2019-05-01,Liverpool,Home,Semi-finals,Ousmane Dembélé,FW,1,0,0,2,1,0,0,0,0,0,0
2019-05-01,Liverpool,Home,Semi-finals,Lionel Messi,FW,90,2,0,4,2,0,0,1,0,2,4
2019-05-01,Liverpool,Home,Semi-finals,Arturo Vidal,CM,90,0,0,0,0,0,0,3,2,4,0
2019-05-01,Liverpool,Home,Semi-finals,Sergio Busquets,CM,90,0,0,0,0,0,0,1,3,0,2
2019-05-01,Liverpool,Home,Semi-finals,Ivan Rakitić,CM,90,0,0,0,0,0,1,0,1,1,4
2019-05-01,Liverpool,Home,Semi-finals,Jordi Alba,LB,90,0,1,0,0,0,0,0,0,0,0
2019-05-01,Liverpool,Home,Semi-finals,Clément Lenglet,CB,90,0,0,1,0,0,0,1,1,1,1
2019-05-01,Liverpool,Home,Semi-finals,Gerard Piqué,CB,90,0,0,0,0,0,0,2,2,1,0
2019-05-01,Liverpool,Home,Semi-finals,Sergi Roberto,RB,89,0,0,0,0,0,0,2,2,0,0
2019-05-01,Liverpool,Home,Semi-finals,Carles Aleñá,MF,1,0,0,0,0,0,0,1,0,0,0
2019-05-01,Liverpool,Home,Semi-finals,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
